dataset,generator,alpha,n_r,n_s,method,variant,t,repeats,ok_rate,wall_mean_ms,wall_stdev_ms,wall_median_ms,wall_p95_ms,count_mean,count_stdev,exact_frac,note
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,sampling,100000,3,1,498.672,19.435,509.709,510.038,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,ours,adaptive,100000,3,1,350.678,29.3872,366.542,368.507,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,sampling,100000,3,1,687.294,2.54803,687.087,689.654,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,aabb,adaptive,100000,3,1,641.346,7.70241,638.033,648.939,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,sampling,100000,3,1,808.253,14.1068,814.495,817.795,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,interval_tree,adaptive,100000,3,1,723.868,2.0878,723.166,725.912,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,sampling,100000,3,1,336.947,2.29253,335.625,339.198,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,kd_tree,adaptive,100000,3,1,461.927,0.87218,461.751,462.762,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,sampling,100000,3,1,599.015,2.22889,597.974,601.214,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,r_tree,adaptive,100000,3,1,415.717,0.402788,415.721,416.078,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,sampling,100000,3,1,1775.94,1.17034,1776.47,1776.72,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,range_tree,adaptive,100000,3,1,1272.83,4.88264,1272.67,1277.28,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,sampling,100000,3,1,35.488,0.241324,35.3882,35.7257,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,pbsm,adaptive,100000,3,1,25.7881,0.0285398,25.7862,25.8144,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,sampling,100000,3,1,1419.06,1.78977,1418.42,1420.81,20000,0,1,
stripe_alpha__nr100000__ns100000__a1_000em01__g1,stripe_ctrl_alpha,0.1,100000,100000,tlsop,adaptive,100000,3,1,917.541,1.78437,916.847,919.296,20000,0,1,
