run_id,regime,alpha,t,repeats,seed,gen_seed,N,method,variant,exit_code,rss_kb,enum_truncated_any,run_csv
20251228_165406,alpha100,100,100000,5,1,1,200000,kd_tree,sampling,0,102256,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/kd_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,kd_tree,enum_sampling,0,112220,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/kd_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,kd_tree,adaptive,0,161736,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/kd_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,r_tree,sampling,0,94344,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/r_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,r_tree,enum_sampling,0,129832,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/r_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,r_tree,adaptive,0,141208,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/r_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,range_tree,sampling,0,177700,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/range_tree/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,range_tree,enum_sampling,0,188908,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/range_tree/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,range_tree,adaptive,0,305564,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/range_tree/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,pbsm,sampling,0,22592,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/pbsm/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,pbsm,enum_sampling,0,22492,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/pbsm/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,pbsm,adaptive,0,37200,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/pbsm/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,tlsop,sampling,0,80588,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/tlsop/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,tlsop,enum_sampling,0,80612,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/tlsop/enum_sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,tlsop,adaptive,0,93936,1,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/tlsop/adaptive/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,sirs,sampling,0,44184,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/sirs/sampling/run.csv
20251228_165406,alpha100,100,100000,5,1,1,200000,sirs,enum_sampling,0,37844,0,/home/dhy/PhD/SIGMOD-EXP/EXP-4/run/temp/exp4/alpha100/alpha100_t100000/N200000/sirs/enum_sampling/run.csv
